,Datetime,Tweet Id,Text,Username,Location,Language,Source,Keyword
17,2021-12-03 15:37:06+00:00,1.47E+18,"@mbga_uk @Yahoo How low have we sunk to have a person like Patel making serious decisions? She’s a total fraud couldn’t manage a job in India never mind the UK only has the job to tick a box, shouldn’t be anywhere near frontline British politics @pritipatel @BorisJohnson",petrepete,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Fraud
18,2021-11-30 17:28:03+00:00,1.47E+18,@oscw_1 @CMO_Odisha @MoSarkar5T @PMOIndia Today a culprit was supported by commission! Without a single question the person was left like this only.@NCWIndia @smritiirani @narendramodi This is the condition of women in India. is there any agenda to mitigate the issue of DV/dowry/fraud/death in near future?,saikoyen,"Jagatsinghapur, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
19,2021-11-27 05:04:19+00:00,1.46E+18,@Dr_S_Prakash @StarHealthIns @PMOIndia Star health insurance fraud me last 4 year premium pay near Rs.8800 but this year premium pay show Rs.9900 please take action india government Dr.S.Prakash nd Star health company very big issue...IRDA take action..,Shalini94927073,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
20,2021-11-27 04:37:06+00:00,1.46E+18,@Dr_S_Prakash @StarHealthIns @PMOIndia Star health insurance fraud me last 4 year premium pay near Rs.8800 but this year premium pay show Rs.9900 please take action india government Dr.S.Prakash nd Star health company very big issue...,Shalini94927073,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
21,2021-11-11 17:31:19+00:00,1.46E+18,"@Kunal67809572 @Ajith18_ @Prana30060168 @CricCrazyJohns Was the tweet for captaincy or batting???

MS IS India's greatest limited overs Captain.
Kohli is nowhere near him in limited overs Captaincy

But the tweet was for batting &amp; Calling Kohli fraud in batting is ......",SChatterjee02,"Gorakhpur, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
22,2021-11-03 12:58:41+00:00,1.46E+18,"#BlackLivesMatter #MAGA #Alberta #Ontario #covid19 #corruption Wake #science #sciencewins #Australia #India #Ghana #Arizona #Israel #murder #children #Notaboutavirus

#Italia
""With Covid"" not normal pandemic. ""With Covid"": avg 3-4 near death comorbidities, false positives &amp; fraud https://t.co/puvGqux8Ez",ClareKuehn,Toronto-Citizen of Canada & US,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
23,2021-11-01 02:08:04+00:00,1.45E+18,"@ShashiTharoor Tragic yes.U're also honouring one who plunged India into a near dictatorship,was the queen of nepotism,emasculated the SC,threw the opposition into prison,convicted of electoral fraud, increased legislative power and who mollycoddled her sociopath son into power. Garland away.",NorioViva,"lutyens दिल्ली, भारत",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
24,2021-10-29 08:09:55+00:00,1.45E+18,"I found this in varanasi near ring road, @AskAnshul @noconversion @missionkaali @DDPunjabi what's wrong with you as dd channel who gave u tht authority to spread this conversion? Who's funding dd Punjabi ankur narula that fraud?? #noconversion https://t.co/dL1dg6Ia7c",Someone_India,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
25,2021-10-28 09:26:10+00:00,1.45E+18,"@tallstories RUBBISH!!! I, as a child have seen celebrations in areas near my house when Pak beat India. Stop with this fraud analysis of the Indian psyche.",filmy_foodie,"Mumbai, Maharashtra",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
26,2021-10-27 00:40:43+00:00,1.45E+18,"As o said
Before Ashe is the biggest fraud in American politics. Her mother belonged to cast in India who followed untouchability and an African African could never come near to her family. She now states image belong to African American. What a shame",ShivaglalCheruv,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
27,2021-10-23 09:45:09+00:00,1.45E+18,"@shadyr7RM ESL in Nepal is something close to ISL for India but nowhere near to it, lol. Nepal is poor but has loads of talent and enthusiasm like India. The only thing that hinders the growth of football is corrupted government and very few to none level of investment on it.",i_rep_a_fraud,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
28,2021-10-23 08:25:51+00:00,1.45E+18,"T20 RANKINGS ARE BIGGEST FRAUD FOR ME AT LEAST, ODI AND TEST RANKING STILL NEEDS PATIENCE AND THEY HAVE IT, IN T20S MALAN NO WHERE NEAR BABAR STILL AHEAD IN RANKINGS AND INDIA DFEATED MAXIMUM TEAMS INCLUDING ENG 3 TIMES CONSECUTIVELY STILL 2ND https://t.co/Lujbl0RCzS",imcricfanatic,Pune,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
29,2021-10-23 00:53:25+00:00,1.45E+18,"@AirAsiaIndia @MoCA_India I was having journey from Bangalore 2 Kochi. PNR: JZJ75P I requested as I am in security check and reach there. Inspite of informing, gates were closed.The person of airasia scanned my boarding pass near security check and cheated. THIS COMPANY IS FRAUD.",Manjuna37042557,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
30,2021-10-17 17:28:09+00:00,1.45E+18,"@antesh_k @ianuragthakur @AUThackeray @praful_patel If real talent is selected and nurtured India can play better football than any other country in the world. I don't think this is a reality in near future. 
All trials are just fraud.",Ravijune6,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
31,2021-10-02 13:46:51+00:00,1.44E+18,"Don't let this DC win distract you from the fact Ashwin is a big fraud in T20s and should not be near India's T20 squad, leave world cup.",peacheasszz,global citizen,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
32,2021-09-21 13:10:25+00:00,1.44E+18,"@khadimsindia It was not expected from a brand like you. Your employees are so arrogant, fraud and reluctant to give any support to customer, which is pathetic. I faced issue from the shop, situated at Madhyamgram, Near Nava Nalanda school, Pin-700129,West Bengal India. https://t.co/9DFV6LKa6q",RounakRB08,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
33,2021-09-17 15:52:35+00:00,1.44E+18,@gocashfree @CNBCTV18News @_sinhaakash @MugdhaCNBCTV18 World largest fraud company that is cashfree it's a fraulent company because looting openly and Tied up with fraud merchant and no one care in this company because our indian people so innocent but day you will congress party in india every dogs have day so your day also near,G42033420Gowda,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
34,2021-09-03 16:13:38+00:00,1.43E+18,"Diplomacy  of Fraud   CHINA. 
Now CHINA  ,  Russia  &amp; cunning  countries   Pakistan in unity and they rule over  in Afghanistan.  Indian government  invested  near about  40 three thousands    crord  i think invested  money  almost  sinked. India is in trouble.",ArjunJh86462509,Gaya INDIA ,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
35,2021-08-30 17:04:41+00:00,1.43E+18,@DGPPunjabPolice Honble sir one of fraud person arrested by ropar police nitin Kumar Srivastava but no action has been taken against him near about he has 15 to 20 crores fraud in one financial company all over India kindly look into the matter sir https://t.co/iL0s4ZeQkh,Angel707Ma,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
36,2021-08-30 10:16:42+00:00,1.43E+18,@DishTV_India I will be registering a FIR in near by police station. This kind of fraud will not be tolerated,ricinakash,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
37,2021-08-21 02:40:37+00:00,1.43E+18,"@Only1DeepakDutt @sid_nair03 @Niftykiller10 @fergie_faithful @NSEIndia @aliceblue_india @NileshTrader @jitendrajain @bhatiamanu @pawanaroraleo this has nothing to with 50 strike or liquidity.
this is fraud. how someone is allowed to put sell order of price above 600 when cmp is near 150 ! 
this can happen in futures, in all strikes.",raka56351870,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
38,2021-08-20 07:28:45+00:00,1.43E+18,@kasifhussain7 @SBICard_Connect @ashwini_tewari @rana_ashutosh @MaheshDGoel @surenderrana88 @DFS_India @ChairmanIba @RBI @nsitharaman Sbi is a fraud credit card  They always charge extra there commitments are fraud there is always hidden charges which they never tells you I suggesting all of you to never use sbi credit card @SBICard_Connect even then if you want to use it ask someone near you who have used it.,AngloArabic786,"New Delhi, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
39,2021-08-17 13:40:05+00:00,1.43E+18,"@aggiewol Fraudsters in India damaging your company Name for offering Instant loan Also we shared all information to your website reflecting mail's ,Below are the screenshots of the fraud.Address ; RZ 273/17, Tughlakabad Extn, Near Tara Appartment., New Delhi, Delhi 110019, India https://t.co/j5UOj2b8R9",PoornaR00665701,"Bangalow, New South Wales",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Fraud
40,2021-08-16 12:37:56+00:00,1.43E+18,"@RBI @RBIsays  @GujaratPolice @SEBI_India 
@dhanicares  is a fraud company it's looting people's money for the name of loan please take action against it",pinku_near,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
41,2021-08-16 08:56:50+00:00,1.43E+18,@MrPhazyl @MNP_Secretariat Yea da bugger presenting it here is belongin to a family which had made a fraud out of a friend's family frm Mal'e by making deir Dad sell deir home near AmeerAhmed School nd dese ppl took dat money nd sent dat family to India in da mid 90's nd since den ar using deir money...😡,AsluMoyameehaa,My mind,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
